start_date,end_date,level
2000-03-10,2001-12-31,1
2001-09-11,2001-12-31,2
2003-03-20,2003-05-20,2
2004-03-11,2004-04-30,1
2005-07-07,2005-08-31,1
2006-07-12,2006-08-31,1
2007-08-01,2008-08-31,1
2008-09-15,2009-12-31,2
2010-05-06,2010-06-30,1
2010-12-17,2011-12-31,1
2011-01-25,2011-12-31,2
2011-03-15,2011-04-30,1
2011-08-01,2012-12-31,1
2012-01-01,2012-12-31,1
2013-08-14,2014-01-31,1
2014-02-20,2015-12-31,2
2014-06-15,2014-12-31,1
2015-01-15,2015-12-31,1
2015-09-30,2016-12-31,1
2016-06-23,2016-12-31,1
2017-08-08,2017-12-31,1
2018-07-06,2019-12-31,1
2019-09-14,2020-01-31,1
2020-01-30,2021-12-31,2
2020-08-04,2021-12-31,1
2021-02-01,2022-12-31,1
2022-02-24,2024-12-31,2
2022-09-26,2023-12-31,1
2023-04-15,2023-12-31,1
2023-10-07,2024-12-31,2
2024-01-12,2024-12-31,1
2024-07-15,2025-12-31,1
2025-04-01,2025-12-31,1
2026-03-01,2026-12-31,1
